j,x_lo,x_hi,c_prev_lo,c_prev_hi,c_lo,c_hi,nominal_cost,cost_upper,cost_gap
31,0.852860235573632,0.852862235573632,0.805053073851088,0.805061073851087,0.777665395395330,0.777673395395330,0.026978866176585,0.026988502335439,0.000009636158854
32,0.826468913557770,0.826470913557770,0.777665395395330,0.777673395395330,0.750623871341702,0.750631871341702,0.026647902369178,0.026657521150277,0.000009618781099
33,0.800401120198800,0.800403120198800,0.750623871341702,0.750631871341702,0.723896041868724,0.723904041868724,0.026318255153671,0.026327847315863,0.000009592162191
34,0.774624349243495,0.774626349243495,0.723896041868724,0.723904041868724,0.697451595384623,0.697459595384623,0.025989704942143,0.025999261463614,0.000009556521472
35,0.749108143968998,0.749110143968998,0.697451595384623,0.697459595384623,0.671262082480671,0.671270082480671,0.025662042941032,0.025671555010904,0.000009512069872
36,0.723823810832507,0.723825810832507,0.671262082480671,0.671270082480671,0.645300665215841,0.645308665215840,0.025335069522834,0.025344528533664,0.000009459010830
37,0.698744167256437,0.698746167256437,0.645300665215841,0.645308665215840,0.619541895576385,0.619549895576385,0.025008592772874,0.025017990315531,0.000009397542657
38,0.673843317404899,0.673845317404899,0.619541895576385,0.619549895576385,0.593961518024821,0.593969518024821,0.024682427179234,0.024691755037528,0.000009327858294
39,0.649096450848781,0.649098450848781,0.593961518024821,0.593969518024821,0.568536291894297,0.568544291894297,0.024356392438961,0.024365642585729,0.000009250146768
40,0.624479659829441,0.624481659829441,0.568536291894297,0.568544291894297,0.543243830046266,0.543251830046266,0.024030312357706,0.024039476954052,0.000009164596346
41,0.599969771463929,0.599971771463930,0.543243830046266,0.543251830046266,0.518062450729152,0.518070450729152,0.023704013823046,0.023713085218675,0.000009071395629
42,0.575544191723727,0.575546191723727,0.518062450729152,0.518070450729152,0.492971039981310,0.492979039981310,0.023377325834126,0.023386296569105,0.000008970734979
43,0.551180758391183,0.551182758391183,0.492971039981310,0.492979039981310,0.467948922233944,0.467956922233944,0.023050078572030,0.023058941381873,0.000008862809843
44,0.526857600472652,0.526859600472652,0.467948922233944,0.467956922233944,0.442975737004208,0.442983737004208,0.022722102496620,0.022730850315242,0.000008747818622
45,0.502553001738767,0.502555001738767,0.442975737004208,0.442983737004208,0.418031319736754,0.418039319736754,0.022393227456385,0.022401853423425,0.000008625967040
46,0.478245266179871,0.478247266179871,0.418031319736754,0.418039319736754,0.393095584961191,0.393103584961191,0.022063281798341,0.022071779269309,0.000008497470968
47,0.453912583213852,0.453914583213852,0.393095584961191,0.393103584961191,0.368148409988115,0.368156409988115,0.021732091465079,0.021740454023605,0.000008362558526
48,0.429532890466733,0.429534890466733,0.368148409988115,0.368156409988115,0.343169517369818,0.343177517369818,0.021399479065819,0.021407700539837,0.000008221474018
49,0.405083731862176,0.405085731862176,0.343169517369818,0.343177517369818,0.318138354303168,0.318146354303168,0.021065262907622,0.021073337382600,0.000008074474978
50,0.380542108600105,0.380544108600105,0.318138354303168,0.318146354303168,0.293033967048754,0.293041967048754,0.020729255971909,0.020737177813440,0.000007921841532
